blocker_key,function_name,branch_line_number,blocked_side_line_number,source_file,old_rank,new_rank,old_score,new_score,reach_confidence,coverage_benefit,unlock_ratio,solvability_score,solvability_reason,evidence_grade,evidence_pattern,evidence_callee,evidence_variable,resource_terms,project_branch_hit_count,blocked_unique_not_covered_complexity,blocked_unique_reachable_complexity,blocked_unique_functions,branch_context,blocked_side_context,manual_label,manual_reason,reviewer
_cmsContextGetClientChunk:769:0,_cmsContextGetClientChunk,769,771,/src/lcms/src/cmsplugin.c,1,15,40.02568025744955,3.295836866004329,1.0,3.295836866004329,1.0,1.0,normal,none,none,,,,110000000,26,26,cmsSignalError,"{
    struct _cmsContext_struct* ctx;
    void *ptr;

    if ((int) mc < 0 || mc >= MemoryClientMax) {
        
           cmsSignalError(ContextID, cmsERROR_INTERNAL, ""Bad context client -- possible corruption"");

           // This is catastrophic. Should never reach here","    void *ptr;

    if ((int) mc < 0 || mc >= MemoryClientMax) {
        
           cmsSignalError(ContextID, cmsERROR_INTERNAL, ""Bad context client -- possible corruption"");

           // This is catastrophic. Should never reach here
           _cmsAssert(0);
",non_resource_guard,mc 超出 MemoryClientMax 會回報 possible corruption 並觸發 _cmsAssert(0)，屬於 internal invariant。,V
cmsDetectBlackPoint:267:0,cmsDetectBlackPoint,267,270,/src/lcms/src/cmssamp.c,3,1,36.37469009723412,6.601766158298733,0.9130362349695992,7.2305631534092925,1.0,1.0,normal,none,none,,,,13500,1380,1380,BlackPointUsingPerceptualBlack,"
    // That is about v2 profiles.

    // If output profile, discount ink-limiting and that's all
    if (Intent == INTENT_RELATIVE_COLORIMETRIC &&
        (cmsGetDeviceClass(hProfile) == cmsSigOutputClass) &&
        (cmsGetColorSpace(hProfile)  == cmsSigCmykData))
        return BlackPointUsingPerceptualBlack(BlackPoint, hProfile);
","    // If output profile, discount ink-limiting and that's all
    if (Intent == INTENT_RELATIVE_COLORIMETRIC &&
        (cmsGetDeviceClass(hProfile) == cmsSigOutputClass) &&
        (cmsGetColorSpace(hProfile)  == cmsSigCmykData))
        return BlackPointUsingPerceptualBlack(BlackPoint, hProfile);

    // Nope, compute BP using current intent.
    return BlackPointAsDarkerColorant(hProfile, Intent, BlackPoint, dwFlags);
}",non_resource_guard,依 Intent、device class 與 CMYK color space 選擇 black-point 演算法，屬於 profile condition。,V
_cmsReadDevicelinkLUT:745:0,_cmsReadDevicelinkLUT,745,748,/src/lcms/src/cmsio1.c,2,3,37.082194035841354,5.313205979041787,1.0,5.313205979041787,1.0,1.0,normal,none,none,,,,125000,202,202,_cmsReadFloatDevicelinkTag,"        return NULL;
    }


    if (cmsIsTag(hProfile, tagFloat)) {  // Float tag takes precedence

        // Floating point LUT are always V
        return _cmsReadFloatDevicelinkTag(hProfile, tagFloat);
    }","
    if (cmsIsTag(hProfile, tagFloat)) {  // Float tag takes precedence

        // Floating point LUT are always V
        return _cmsReadFloatDevicelinkTag(hProfile, tagFloat);
    }

    tagFloat = Device2PCSFloat[0];
    if (cmsIsTag(hProfile, tagFloat)) {",non_resource_guard,判斷 profile 是否包含 float tag，以選擇 LUT 讀取路徑。,V
cmsDetectDestinationBlackPoint:403:1,cmsDetectDestinationBlackPoint,403,416,/src/lcms/src/cmssamp.c,4,2,36.17541000028503,5.482851942772469,0.8255510885132845,6.641444750132191,0.8359469240048251,1.0,normal,none,none,,,,1800,1386,1658,CreateRoundtripXForm | RootOfLeastSquaresFitQuadraticCurve | cmsDeleteTransform | cmsDoTransform | cmsLab2XYZ | cmsXYZ2Lab,"

    // Check if the profile is lut based and gray, rgb or cmyk (7.2 in Adobe's document)
    ColorSpace = cmsGetColorSpace(hProfile);
    if (!cmsIsCLUT(hProfile, Intent, LCMS_USED_AS_OUTPUT ) ||
        (ColorSpace != cmsSigGrayData &&
         ColorSpace != cmsSigRgbData  &&
         ColorSpace != cmsSigCmykData)) {
","    // It is one of the valid cases!, use Adobe algorithm

    
    // Set a first guess, that should work on good profiles.
    if (Intent == INTENT_RELATIVE_COLORIMETRIC) {

        cmsCIEXYZ IniXYZ;

        // calculate initial Lab as source black point",non_resource_guard,blocked side 是合法 CLUT 與支援的 color space，進入 Adobe black-point 演算法。,v
cmsDeleteContext:979:0,cmsDeleteContext,979,981,/src/lcms/src/cmsplugin.c,5,4,35.68163663775521,4.804021044733257,1.0,4.804021044733257,1.0,1.0,normal,none,none,,,,113000,121,121,cmsUnregisterPlugins,"// and destroys the context placeholder. 
// The ContextID can no longer be used in any THR operation.  
void CMSEXPORT cmsDeleteContext(cmsContext ContextID)
{
    if (ContextID == NULL) {

        cmsUnregisterPlugins();
        if (globalContext.MemPool != NULL)
            _cmsSubAllocDestroy(globalContext.MemPool);","void CMSEXPORT cmsDeleteContext(cmsContext ContextID)
{
    if (ContextID == NULL) {

        cmsUnregisterPlugins();
        if (globalContext.MemPool != NULL)
            _cmsSubAllocDestroy(globalContext.MemPool);
        globalContext.MemPool = NULL;
    }",non_resource_guard,ContextID == NULL 代表清理 global context，屬於 API 特殊語意。,V
cmsTransform2DeviceLink:1094:0,cmsTransform2DeviceLink,1094,1096,/src/lcms/src/cmsvirt.c,23,5,30.63056584649823,4.304679039262885,0.8079540332561534,5.327876168789581,1.0,1.0,normal,none,none,,,,1200,205,205,_cmsStageAllocLabV2ToV4curves,"    LUT = cmsPipelineDup(xform ->Lut);
    if (LUT == NULL) return NULL;

    // Time to fix the Lab2/Lab4 issue.
    if ((xform ->EntryColorSpace == cmsSigLabData) && (Version < 4.0)) {

        if (!cmsPipelineInsertStage(LUT, cmsAT_BEGIN, _cmsStageAllocLabV2ToV4curves(ContextID)))
            goto Error;
    }","
    // Time to fix the Lab2/Lab4 issue.
    if ((xform ->EntryColorSpace == cmsSigLabData) && (Version < 4.0)) {

        if (!cmsPipelineInsertStage(LUT, cmsAT_BEGIN, _cmsStageAllocLabV2ToV4curves(ContextID)))
            goto Error;
    }

    // On the output side too. Note that due to V2/V4 PCS encoding on lab we cannot fix white misalignments",non_resource_guard,實際條件是 Lab entry color space 且 ICC version 小於 4；相鄰的 cmsPipelineDup 不是這個 branch。,V
AddToList:1274:0,AddToList,1274,1276,/src/lcms/src/cmscgats.c,6,42,35.639903389441415,0.8584968011212866,1.0,3.4339872044851463,1.0,0.25,resource_guard_strong,strong,same_variable_call_null_check_resource_failure,AllocChunk,p,out of memory,5760000,30,30,SynError,"        last = p;

        // Allocate the container
        p = (KEYVALUE*) AllocChunk(it8, sizeof(KEYVALUE));
        if (p == NULL)
        {
            SynError(it8, ""AddToList: out of memory"");
            return NULL;
        }","        // Allocate the container
        p = (KEYVALUE*) AllocChunk(it8, sizeof(KEYVALUE));
        if (p == NULL)
        {
            SynError(it8, ""AddToList: out of memory"");
            return NULL;
        }

        // Store name and value",resource_guard,p 來自 AllocChunk，p == NULL 時明確回報 out of memory。,v
Type_LUTB2A_Write:2986:0,Type_LUTB2A_Write,2986,2987,/src/lcms/src/cmstypes.c,32,6,28.569353418647598,4.03208709711306,0.9201420788290429,4.382026634673881,1.0,1.0,normal,none,none,,,,15900,79,79,WriteCLUT,"        offsetA = io ->Tell(io) - BaseOffset;
        if (!WriteSetOfCurves(self, io, cmsSigParametricCurveType, A)) return FALSE;
    }

    if (CLUT != NULL) {
        offsetC = io ->Tell(io) - BaseOffset;
        if (!WriteCLUT(self, io, (Lut ->SaveAs8Bits ? 1U : 2U), CLUT)) return FALSE;

    }","        if (!WriteSetOfCurves(self, io, cmsSigParametricCurveType, A)) return FALSE;
    }

    if (CLUT != NULL) {
        offsetC = io ->Tell(io) - BaseOffset;
        if (!WriteCLUT(self, io, (Lut ->SaveAs8Bits ? 1U : 2U), CLUT)) return FALSE;

    }
    if (M != NULL) {",non_resource_guard,判斷 LUT 是否包含 optional CLUT component，再決定是否寫出。,v
WriteInputMatrixShaper:980:0,WriteInputMatrixShaper,980,982,/src/lcms/src/cmsps2.c,26,7,29.738259323795155,3.942887643311484,0.8997863253756606,4.382026634673881,1.0,1.0,normal,none,none,,,,9950,79,79,EmitCIEBasedA,"    ColorSpace = cmsGetColorSpace(hProfile);

    cmsDetectBlackPoint(&BlackPointAdaptedToD50, hProfile, INTENT_RELATIVE_COLORIMETRIC, 0);

    if (ColorSpace == cmsSigGrayData) {

        cmsToneCurve** ShaperCurve = _cmsStageGetPtrToCurveSet(Shaper);
        rc = EmitCIEBasedA(m, ShaperCurve[0], &BlackPointAdaptedToD50);
","    cmsDetectBlackPoint(&BlackPointAdaptedToD50, hProfile, INTENT_RELATIVE_COLORIMETRIC, 0);

    if (ColorSpace == cmsSigGrayData) {

        cmsToneCurve** ShaperCurve = _cmsStageGetPtrToCurveSet(Shaper);
        rc = EmitCIEBasedA(m, ShaperCurve[0], &BlackPointAdaptedToD50);

    }
    else",non_resource_guard,依 profile color space 是否為 Gray 選擇輸出方式。,v
cmsWriteTag:1787:0,cmsWriteTag,1787,1790,/src/lcms/src/cmsio0.c,7,21,35.56428792845944,3.1832767527288937,1.0,3.1832767527288937,0.7906976744186046,1.0,normal,not_evaluated,,,,,1380000,34,43,_cmsDeleteTagByPos | _cmsSearchTag,"
    if (!_cmsLockMutex(Icc->ContextID, Icc ->UsrMutex)) return FALSE;

    // To delete tags.
    if (data == NULL) {

         // Delete the tag
         i = _cmsSearchTag(Icc, sig, FALSE);
         if (i >= 0) {","    // To delete tags.
    if (data == NULL) {

         // Delete the tag
         i = _cmsSearchTag(Icc, sig, FALSE);
         if (i >= 0) {
                
             // Use zero as a mark of deleted 
             _cmsDeleteTagByPos(Icc, i);",non_resource_guard,data == NULL 是刪除 tag 的 API 語意，不是 allocation failure。,V
